title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_score,imdb_votes
The Magic School Bus,SHOW,1994,TV-Y,26,"scifi, comedy, family, fantasy, animation","US, CA",4,7,9708
Power Rangers,SHOW,1993,TV-Y7,22,"scifi, action, fantasy, family",US,29,6,21949
Adventures of Sonic the Hedgehog,SHOW,1993,TV-Y7,22,"action, animation, scifi, western, fantasy, comedy, family",US,4,6,3808
Goosebumps,SHOW,1995,TV-PG,22,"scifi, fantasy, horror, thriller, family, music","CA, US",4,7,13361
Yu-Gi-Oh!,SHOW,1998,TV-Y,22,"scifi, action, family, fantasy, animation, comedy, drama",JP,7,7,20888
InuYasha,SHOW,2000,TV-14,25,"action, comedy, scifi, animation, drama, fantasy, romance",JP,9,7,15823
3 Ninjas Kick Back,MOVIE,1994,PG,93,"action, comedy, family, sport","US, JP",1,4,9208
Barney & Friends,SHOW,1992,TV-G,28,family,US,14,3,9955
Croupier,MOVIE,1998,R,94,"thriller, european, crime, drama","FR, IE, GB, DE",1,7,21382
Moesha,SHOW,1996,TV-PG,21,"drama, comedy, family",US,6,5,3713
"Sister, Sister",SHOW,1994,TV-PG,22,"comedy, drama, family",US,6,6,12535
Cardcaptor Sakura,SHOW,1998,TV-Y7,25,"scifi, comedy, drama, family, fantasy, romance, animation, action",JP,4,8,4936
Geronimo: An American Legend,MOVIE,1993,PG-13,115,"western, drama, history",US,1,6,11506
The Mirror Has Two Faces,MOVIE,1996,PG-13,126,"romance, comedy, drama",US,1,6,19829
Girlfriends,SHOW,2000,TV-PG,21,"comedy, drama",US,8,7,4482
Knight Rider 2000,MOVIE,1991,G,91,"action, scifi",US,1,4,3178
The Last Days,MOVIE,1998,PG-13,87,"drama, documentation, war",US,1,7,4247
The Parkers,SHOW,1999,TV-PG,19,comedy,US,5,6,2346
Heavy,MOVIE,1995,R,105,"romance, drama",US,1,6,4921
Bill Hicks: Revelations,MOVIE,1993,Uk,74,"comedy, documentation",GB,1,8,3085
Sankofa,MOVIE,1993,Uk,124,"drama, european","GH, GB, US, BF, DE",1,7,678
Dale's Supermarket Sweep,SHOW,1993,TV-G,21,,GB,8,7,39
Jerry Seinfeld: I'm Telling You for the Last Time,MOVIE,1998,G,75,"comedy, documentation",US,1,7,5834
Children of God,MOVIE,1994,Uk,63,documentation,GB,1,6,589
Wild Tango,MOVIE,1993,R,124,"drama, music, romance","AR, ES",1,6,1564
Oggy and the Cockroaches,SHOW,1999,TV-Y7,9,"comedy, family, action, animation, european",FR,7,7,4185
H,SHOW,1998,TV-MA,25,comedy,FR,4,7,1703
Herod's Law,MOVIE,1999,R,120,"drama, comedy, crime",MX,1,7,5943
Tim Allen: Rewires America,MOVIE,1991,PG,30,"comedy, documentation",US,1,5,195
Heartbreak High,SHOW,1994,TV-MA,47,"drama, romance, comedy",AU,7,7,3106
Aashik Aawara,MOVIE,1993,Uk,153,"romance, comedy, drama",IN,1,4,320
Destiny,MOVIE,1997,Uk,136,"drama, romance, comedy, history","EG, FR",1,7,2825
Oh Darling! Yeh Hai India!,MOVIE,1995,G,153,comedy,IN,1,4,1678
A Triumph of the Heart: The Ricky Bell Story,MOVIE,1991,Uk,100,"drama, sport",US,1,7,248
Bombay,MOVIE,1995,Uk,141,"romance, drama",IN,1,8,12512
West Beirut,MOVIE,1998,PG-13,105,"romance, war, comedy, drama, european","BE, FR, NO, LB",1,7,4175
Muthu,MOVIE,1995,G,165,"drama, comedy, romance, action",IN,1,7,3056
Qila,MOVIE,1998,Uk,160,"drama, music, family",IN,1,4,129
Ram Jaane,MOVIE,1995,Uk,172,"action, drama, romance, crime",IN,1,5,3901
Chamatkar,MOVIE,1992,G,171,"comedy, fantasy, drama, crime",IN,1,6,6199
Soldier,MOVIE,1998,Uk,156,"thriller, action, drama, romance",IN,1,6,3025
Okupas,SHOW,2000,TV-MA,40,"crime, drama",AR,1,9,2326
Hum Saath Saath Hain,MOVIE,1999,G,177,"fantasy, romance, family, drama",IN,1,6,8454
Kabhi Haan Kabhi Naa,MOVIE,1994,G,158,"comedy, drama, music, romance",IN,1,7,18224
Nightmare in Columbia County,MOVIE,1991,Uk,100,"drama, crime, thriller",US,1,5,341
Phir Bhi Dil Hai Hindustani,MOVIE,2000,PG-13,160,"comedy, romance, drama",IN,1,6,7556
Jeans,MOVIE,1998,Uk,175,"drama, romance, comedy",IN,1,6,3567
Chaahat,MOVIE,1996,G,155,"drama, romance",IN,1,5,2837
Maya Memsaab,MOVIE,1993,PG-13,126,"romance, drama, thriller",IN,1,5,2177
Out of Life,MOVIE,1991,Uk,97,"war, drama, crime, european","IT, LB, BE, FR",1,6,365
Duplicate,MOVIE,1998,PG,165,"comedy, action, crime, thriller",IN,1,5,7557
Govindha Govindha,MOVIE,1993,Uk,145,"drama, action, crime",IN,1,6,351
Damini,MOVIE,1993,Uk,180,"drama, crime",IN,1,7,3490
English Babu Desi Mem,MOVIE,1996,PG,172,"romance, comedy, drama",IN,1,4,2322
Before the Flying Circus,MOVIE,2000,Uk,55,"comedy, documentation",GB,1,7,161
Sam Kinison: Live in Vegas,MOVIE,1991,Uk,72,"comedy, music, documentation",US,1,6,272
Anjaam,MOVIE,1994,Uk,146,"thriller, romance, drama",IN,1,6,6465
Mann,MOVIE,1999,Uk,174,"drama, romance",IN,1,6,5413
Monty Python: Live at Aspen,MOVIE,1998,Uk,58,"comedy, documentation","US, GB",1,7,1092
Sinbad: Afros and Bellbottoms,MOVIE,1993,PG-13,59,"comedy, documentation",US,1,7,166
The Other,MOVIE,1999,Uk,106,"drama, european, romance","EG, FR",1,5,987
Sinbad: Son of a Preacher Man,MOVIE,1996,Uk,56,"comedy, documentation",US,1,6,115
Children of Shatila,MOVIE,1999,Uk,50,"documentation, history",LB,1,8,74
Gumrah,MOVIE,1993,Uk,149,"action, crime, drama, thriller",IN,1,6,784
The Emigrant,MOVIE,1994,Uk,129,drama,"EG, FR",1,6,998
Yodha,MOVIE,1991,Uk,142,"drama, action",IN,1,4,198
Avvai Shanmugi,MOVIE,1996,PG-13,160,"drama, comedy",IN,1,7,2528
Minsara Kanavu,MOVIE,1997,G,145,"comedy, drama, romance",IN,1,6,1212
Chronicle of a Disappearance,MOVIE,1996,Uk,88,drama,"US, FR, DE, PS",1,6,718
Yaar Gaddar,MOVIE,1994,Uk,147,"crime, action, drama",IN,1,3,142
Sinbad: Nothin' but the Funk,MOVIE,1998,Uk,55,"comedy, documentation",US,1,6,65
Dushmani,MOVIE,1995,Uk,156,"romance, action, drama",IN,1,5,248
Fiza,MOVIE,2000,Uk,170,"drama, romance, action, crime",IN,1,6,4168
Hello Brother,MOVIE,1999,Uk,131,"romance, action, comedy, fantasy",IN,1,4,4230
Shikari,MOVIE,1991,Uk,162,"drama, action","IN, SU",1,5,66
The Staircase,SHOW,2004,TV-MA,49,"crime, documentation, drama",FR,2,7,21531
The Great British Baking Show,SHOW,2010,TV-PG,57,"reality, european",GB,12,8,9564
Heartland,SHOW,2007,TV-PG,44,"drama, family",CA,15,8,15743
My Little Pony: Friendship Is Magic,SHOW,2010,TV-Y7,22,"scifi, animation, drama, fantasy, music, comedy, family","CA, US",9,7,20708
Sonic X,SHOW,2003,TV-Y7,21,"action, drama, thriller, animation, comedy, fantasy, family, scifi",JP,3,6,4577
America's Next Top Model,SHOW,2003,TV-14,44,reality,US,24,5,17843
Borgen,SHOW,2010,TV-MA,58,"drama, european",DK,4,8,23523
Victorious,SHOW,2010,TV-G,25,"comedy, drama, family, music, romance, sport",US,4,6,24224
Offspring,SHOW,2010,Uk,44,"drama, comedy",AU,7,8,4764
Gurren Lagann,SHOW,2007,TV-14,24,"scifi, action, comedy, drama, animation",JP,1,8,17024
Transformers: Prime,SHOW,2010,TV-Y7,22,"action, comedy, drama, family, scifi, animation",US,4,7,6500
The Mole,SHOW,2001,TV-14,52,reality,"US, BE",5,7,1104
Still Game,SHOW,2002,TV-14,29,"comedy, european",GB,9,8,7539
Midnight Diner,SHOW,2009,TV-MA,27,"drama, comedy",JP,5,8,2110
H2O: Just Add Water,SHOW,2006,TV-PG,25,"drama, scifi, fantasy, family",AU,3,7,14782
Black Butler,SHOW,2008,TV-MA,25,"scifi, fantasy, animation, comedy, drama, thriller, crime, horror, action",JP,3,8,1856
Octonauts,SHOW,2010,TV-Y,15,"action, animation, comedy, family",GB,6,7,1049
New York Minute,MOVIE,2004,PG,87,"comedy, crime, family, romance",US,1,4,23307
Strawberry Shortcake,SHOW,2003,TV-Y,23,"animation, family",US,4,7,13
Total Drama Island,SHOW,2007,TV-PG,23,"action, reality, animation, family, comedy, drama",CA,6,7,10523
Dreamer: Inspired By a True Story,MOVIE,2005,PG,106,"drama, family, sport, fantasy",US,1,6,13034
Boys Over Flowers,SHOW,2009,TV-14,64,"comedy, drama, romance",KR,1,7,11579
Winx Club,SHOW,2004,TV-G,23,"action, comedy, family, fantasy, animation, thriller, european",IT,8,6,6700
Big Time Rush,SHOW,2009,TV-G,25,"comedy, family",US,4,6,12046
Dead Set,SHOW,2008,TV-MA,141,"scifi, thriller, comedy, drama, horror, european",GB,1,7,19684
Toradora!,SHOW,2008,TV-14,30,"animation, romance, comedy, drama",JP,2,8,14307
Shaun the Sheep,SHOW,2007,TV-G,7,"animation, comedy, family, european",GB,6,8,25
Scare Tactics,SHOW,2003,TV-14,22,"comedy, horror, reality, scifi, thriller",US,5,6,2512
Kath & Kim,SHOW,2002,Uk,24,comedy,AU,4,8,4168
Pocoyo,SHOW,2005,TV-G,11,"animation, family, comedy, european","ES, GB",4,3,93
Louis C.K.: Hilarious,MOVIE,2010,Uk,84,comedy,US,1,8,11973
Gifted Hands: The Ben Carson Story,MOVIE,2009,Uk,86,drama,US,1,7,10210
The Game,SHOW,2006,TV-14,22,"comedy, drama, sport, romance",US,10,6,4417
Angel Beats!,SHOW,2010,TV-14,26,"scifi, action, comedy, drama, fantasy, animation",JP,1,7,13848
Masha and the Bear,SHOW,2009,TV-Y,6,"comedy, family, action, animation",RU,5,7,3114
Monty Python: Almost the Truth (The Lawyer's Cut),SHOW,2009,TV-MA,55,"comedy, documentation",US,1,8,1740
The Legend of Bruce Lee,SHOW,2008,Uk,45,"action, drama",CN,1,7,1422
Ouran High School Host Club,SHOW,2006,TV-14,23,"comedy, drama, animation, romance",JP,1,8,9763
The Ultimatum,SHOW,2009,TV-14,44,drama,SG,1,5,6
Mobile Suit Gundam Unicorn,SHOW,2010,TV-14,35,"action, drama, scifi, war, animation",JP,2,7,1291
Johnny Test,SHOW,2005,TV-Y7,18,"comedy, drama, family, scifi, animation, action","CA, US",6,5,8172
Code Lyoko,SHOW,2003,TV-G,24,"action, fantasy, thriller, comedy, family, scifi, romance, animation",FR,5,7,5109
Iris,SHOW,2009,TV-14,61,"action, comedy, reality, romance, thriller",KR,2,7,1951
DreamWorks Shrek's Swamp Stories,SHOW,2010,TV-PG,24,"horror, music, animation, comedy, family, fantasy, scifi",US,1,6,330
